gene,description
Solyc03g121930.3.1 ,PHD finger protein ALFIN-LIKE 5 (AHRD V3.3 *** A0A2G2WQ36_CAPBA)
Solyc03g121940.3.1 ,Nuclear transcription factor Y subunit A-8 (AHRD V3.3 *** A0A2G2ZVT6_CAPAN)
Solyc03g121950.3.1 ,Polyadenylate-binding protein-interacting protein 3 (AHRD V3.3 *** A0A2G2WPZ4_CAPBA)
Solyc03g121960.3.1 ,Phospholipid:diacylglycerol acyltransferase (AHRD V3.3 *** A0A2U1KQW5_ARTAN)
Solyc03g121970.1.1 ,protein BIG GRAIN 1-like A (AHRD V3.3 *** A0A2I4FTX4_9ROSI)
Solyc03g121980.3.1 ,Developmentally-regulated GTP-binding protein 2 (AHRD V3.3 *** B6TJC5_MAIZE)
Solyc03g121990.4.1 ,Developmentally-regulated GTP-binding protein 2 (AHRD V3.3 *** A0A2G2WPW5_CAPBA)
Solyc03g122000.4.1 ,Cytochrome b6-f complex subunit 4 (AHRD V3.3 *** A0A2S0SWC7_9FABA)
Solyc03g122010.1.1 ,"NAD(P)H-quinone oxidoreductase subunit 2, chloroplastic (AHRD V3.3 *-* A0A1B1MTB7_GLELI)"
Solyc03g122020.4.1 ,Transcription initiation factor TFIID subunit 12 (AHRD V3.3 *** A0A1U8G3D7_CAPAN)
Solyc03g122030.1.1 ,Trihelix transcription factor ASIL2 (AHRD V3.3 *-* ASIL2_ARATH)
Solyc03g122040.4.1 ,COP1-interacting protein-like protein (AHRD V3.3 *-* F4IDB4_ARATH)
Solyc03g122050.1.1 ,ABC transporter (AHRD V3.3 *-* A0A200QCT2_9MAGN)
Solyc03g122060.3.1 ,Protein SR.1
Solyc03g122070.3.1 ,ABC transporter (AHRD V3.3 *-* A0A200QCT2_9MAGN)
Solyc03g122080.3.1 ,DUF936 domain-containing protein (AHRD V3.3 *** A0A1Q3B0V3_CEPFO)
Solyc03g122090.3.1 ,25.3 kDa vesicle transport protein (AHRD V3.3 *** A0A1U8G1E9_CAPAN)
Solyc03g122100.3.1 ,3-oxoacyl-[acyl-carrier-protein] synthase (AHRD V3.3 *-* A0A2G2ZVR7_CAPAN)
Solyc03g122110.1.1 ,Pre-mRNA-splicing factor CWC22-like protein (AHRD V3.3 *** A0A2G2ZS42_CAPAN)
Solyc03g122120.4.1 ,3-oxoacyl-[acyl-carrier-protein] synthase (AHRD V3.3 *** A0A2G2ZVR7_CAPAN)
Solyc03g122130.3.1 ,Peroxisomal (S)-2-hydroxy-acid oxidase GLO4 (AHRD V3.3 *** A0A2G3D0F6_CAPCH)
Solyc03g122140.3.1 ,Peroxisomal (S)-2-hydroxy-acid oxidase GLO4 (AHRD V3.3 *** A0A2G2WPV6_CAPBA)
Solyc03g122150.3.1 ,Peroxisomal (S)-2-hydroxy-acid oxidase GLO4 (AHRD V3.3 *-* A0A2G2WQ07_CAPBA)
Solyc03g122160.1.1 ,Peroxisomal (S)-2-hydroxy-acid oxidase GLO4 (AHRD V3.3 *-* A0A2G2WPV6_CAPBA)
Solyc03g122170.4.1 ,Peroxisomal (S)-2-hydroxy-acid oxidase GLO4 (AHRD V3.3 *** A0A2G2WQ07_CAPBA)
Solyc03g122190.3.1 ,Protein TIFY 10A (AHRD V3.3 *** A0A2G2WQ40_CAPBA)
Solyc03g122210.2.1 ,"Acetylornithine aminotransferase, chloroplastic/mitochondrial (AHRD V3.11 *-* tr|A0A2G3BZI2|A0A2G3BZI2_CAPCH)"
Solyc03g122220.2.1 ,"Zinc finger, GRF-type (AHRD V3.11 *-* tr|A0A2U1N8A9|A0A2U1N8A9_ARTAN)"
Solyc03g122230.2.1 ,pollen receptor-like kinase 3 (AHRD V3.3 *** A0A2G2ZVT8_CAPAN)
Solyc03g122240.3.1 ,Exocyst subunit Exo70 family protein (AHRD V3.3 *** A0A2G3D0E6_CAPCH)
Solyc03g122250.3.1 ,Transmembrane receptor (AHRD V3.3 *** A0A200Q182_9MAGN)
Solyc03g122260.3.1 ,U6 snRNA-associated Sm-like protein LS.1
Solyc03g122270.4.1 ,Inter-alpha-trypsin inhibitor heavy chain-like protein (AHRD V3.3 *** Q8L798_ARATH)
Solyc03g122280.3.1 ,Lipase class 3 protein-like (AHRD V3.3 *** Q6K832_ORYSJ)
Solyc03g122300.3.1 ,DUF1677 family protein (DUF1677) (AHRD V3.3 *** Q9SK23_ARATH)
Solyc03g122310.4.1 ,Aldehyde dehydrogenase (AHRD V3.3 *** Q69P84_ORYSJ)
Solyc03g122320.1.1 ,Unknown protein
Solyc03g122330.1.1 ,Unknown protein
Solyc03g122340.3.1 ,lipoxygenase D
Solyc03g122350.3.1 ,Cytochrome P450 (AHRD V3.3 *** Q43795_TOBAC)
Solyc03g122360.3.1 ,Cytochrome P450 (AHRD V3.3 *** Q43795_TOBAC)
Solyc03g122370.4.1 ,ARM repeat superfamily protein (AHRD V3.3 *** AT1G72560.7)
Solyc03g122375.1.1 ,Unknown protein
Solyc03g123370.3.1 ,"GTP pyrophosphokinase, (P)ppGpp synthetase II Guanosine-3',5'-bis(Diphosphate) 3'-pyrophosphohydrolase (AHRD V3.3 *-* A0A2D1JZR2_9GAMM)"
Solyc03g123380.1.1 ,Unknown protein
Solyc03g123390.4.1 ,Alpha/beta-Hydrolases superfamily protein (AHRD V3.3 *** Q9LNR2_ARATH)
Solyc03g123400.1.1 ,GRAS16
Solyc03g123410.1.1 ,Germin-like protein.1
Solyc03g123420.1.1 ,proline-rich receptor-like protein kinase PERK2 (AHRD V3.3 *-* A0A2I4FTL8_9ROSI)
Solyc03g123430.4.1 ,LTM interacting AP2
Solyc03g123440.3.1 ,DNA demethylase 4
Solyc03g123450.1.1 ,Ethylene receptor (AHRD V3.3 *-* A0A2G2WUD6_CAPBA)
Solyc03g123470.1.1 ,RBR-type E3 ubiquitin transferase (AHRD V3.3 *** A0A2G2WPU0_CAPBA)
Solyc03g123480.2.1 ,RBR-type E3 ubiquitin transferase (AHRD V3.3 *-* A0A2U1PAI0_ARTAN)
Solyc03g161630.1.1 ,RBR-type E3 ubiquitin transferase (AHRD V3.11 *-* tr|A0A2G3D0D5|A0A2G3D0D5_CAPCH)
Solyc03g123490.1.1 ,Subtilisin-like protease-like protein (AHRD V3.3 *** A0A2K3N1H7_TRIPR)
Solyc03g123500.4.1 ,GCC box binding protein C.4
Solyc03g123510.3.1 ,GDSL esterase/lipase 5-like (AHRD V3.3 *-* A0A1U8G673_CAPAN)
Solyc03g123520.3.1 ,Phosphoinositide phosphatase SAC2 (AHRD V3.3 *** A0A2G3D1F1_CAPCH)
Solyc03g123530.4.1 ,CCAAT/enhancer-binding protein zeta (AHRD V3.3 *** A0A1J3FE65_NOCCA)
Solyc03g123540.3.1 ,17.4 kDa class III heat shock protein (AHRD V3.3 *** A0A2G3D1F4_CAPCH)
Solyc03g123550.1.1 ,Small auxin up-regulated RNA39
Solyc03g123560.3.1 ,Chaperone protein DnaJ (AHRD V3.3 *-* A0A1J3IS52_NOCCA)
Solyc03g123570.3.1 ,1-phosphatidylinositol-3-phosphate 5-kinase FAB1B (AHRD V3.3 *** A0A2G2WPE3_CAPBA)
Solyc03g123580.5.1 ,LL-diaminopimelate aminotransferase Chr3:4761654-4762286 REVERSE LENGTH=141 201606 (AHRD V3.11 *-* AT3G14280.1)
Solyc03g123590.4.1 ,Remorin (AHRD V3.3 *** A0A200Q464_9MAGN)
Solyc03g123600.4.1 ,Alanine aminotransferase (AHRD V3.3 *** Q9S768_ORYSA)
Solyc03g123610.4.1 ,Alanine aminotransferase 2 (AHRD V3.3 *** A0A2G3D1D6_CAPCH)
Solyc03g123620.4.1 ,Pectinesterase (AHRD V3.3 *** A0A2G3D1E1_CAPCH)
Solyc03g123630.4.1 ,pectin methylesterase pmeu1
Solyc03g123640.3.1 ,Pumilio-like protein 23 (AHRD V3.3 *** A0A2G2WPL0_CAPBA)
Solyc03g123650.3.1 ,"Zinc finger, RING/FYVE/PHD-type (AHRD V3.3 *-* A0A2U1MB88_ARTAN)"
Solyc03g123660.3.1 ,ubiquitin conjugating enzyme 2
Solyc03g123670.3.1 ,60S ribosomal protein L28.1
Solyc03g123680.1.1 ,RING/U-box superfamily protein (AHRD V3.3 *** A0A2U1LDD8_ARTAN)
Solyc03g123690.1.1 ,RING/U-box superfamily protein (AHRD V3.3 *-* A0A2U1L356_ARTAN)
Solyc03g123700.4.1 ,muscle M-line assembly protein (AHRD V3.3 *** AT1G53800.3)
Solyc03g123710.3.1 ,Unknown protein
Solyc03g123720.4.1 ,O-fucosyltransferase family protein (AHRD V3.3 *** F4HTC2_ARATH)
Solyc03g123730.5.1 ,26S protease regulatory subunit 7 (AHRD V3.11 *** tr|A0A1U8FAJ3|A0A1U8FAJ3_CAPAN)
Solyc03g123740.4.1 ,Ovule receptor-like kinase 28 (AHRD V3.3 *** A4GWX5_SOLCH)
Solyc03g123750.3.1 ,Alpha/beta-Hydrolases superfamily protein (AHRD V3.3 *** F4JFU8_ARATH)
Solyc03g123760.3.1 ,phytoene desaturase
Solyc03g123770.1.1 ,Unknown protein
Solyc03g123790.4.1 ,Vacuolar cation/proton exchanger (AHRD V3.3 *** K4DFQ6_SOLLC)
Solyc03g123800.3.1 ,MAP kinase kinase 2
Solyc03g123810.1.1 ,zinc ion binding protein (AHRD V3.3 --* AT1G55915.4)
Solyc03g123820.2.1 ,Glucose-methanol-choline (GMC) oxidoreductase family protein (AHRD V3.3 *** A0A2U1M607_ARTAN)
Solyc03g123830.5.1 ,D-3-phosphoglycerate dehydrogenase (AHRD V3.11 *** tr|A0A1U8G334|A0A1U8G334_CAPAN)
Solyc03g123840.4.1 ,RNA-binding (RRM/RBD/RNP motifs) family protein (AHRD V3.3 *** Q9LU37_ARATH)
Solyc03g123850.2.1 ,Unknown protein
Solyc03g123860.4.1 ,Receptor-like protein kinase INRPK1c
Solyc03g123870.3.1 ,Exocyst complex component EXO84B (AHRD V3.3 *** A0A1U8FU49_CAPAN)
Solyc03g123880.3.1 ,"Glutamyl-tRNA reductase-binding protein, chloroplastic (AHRD V3.3 *** A0A2G2WPF5_CAPBA)"
Solyc03g123890.4.1 ,Calcium-transporting ATPase (AHRD V3.3 *** A0A2G3A3P1_CAPAN)
Solyc03g123900.3.1 ,"alpha-1,2-Mannosidase (AHRD V3.3 *** A0A2G3D1E2_CAPCH)"
Solyc03g123910.3.1 ,Kelch repeat-containing protein (AHRD V3.3 *** A0A2G3D189_CAPCH)
Solyc03g123920.3.1 ,Ubiquitin-specific protease family C19 protein (AHRD V3.3 *** A0A2K3NKS0_TRIPR)
Solyc03g123930.1.1 ,RING/FYVE/PHD zinc finger superfamily protein (AHRD V3.3 *-* A0A2U1NLT0_ARTAN)
Solyc03g123940.1.1 ,60S ribosomal protein L44 (AHRD V3.3 *** A0A2G3CYG5_CAPCH)
Solyc03g123950.4.1 ,RING/FYVE/PHD zinc finger superfamily protein (AHRD V3.3 *** A0A1P8AS62_ARATH)
Solyc03g123960.3.1 ,Mediator of rna polymerase ii transcription subunit 8 (AHRD V3.3 *** A0A314KGT5_NICAT)
Solyc03g123970.1.1 ,lipid-binding serum glycoprotein family protein (AHRD V3.3 *-* AT3G20270.3)
Solyc03g123980.4.1 ,Pumilio-like protein 2 (AHRD V3.3 *** A0A2G2WPH9_CAPBA)
Solyc03g123990.3.1 ,Mitochondrial carrier protein (AHRD V3.3 *-* A0A200R951_9MAGN)
Solyc03g124010.3.1 ,p-loop containing nucleoside triphosphate hydrolases superfamily protein (AHRD V3.3 *** A0A1P8AT95_ARATH)
Solyc03g124030.5.1 ,Tetratricopeptide repeat (TPR)-like superfamily protein (AHRD V3.11 *** tr|F4IBX4|F4IBX4_ARATH)
Solyc03g124020.1.1 ,Auxin-induced protein 15A (AHRD V3.3 *** A0A2G3D1E4_CAPCH)
Solyc03g124040.3.1 ,Mitochondrial transcription termination factor family protein (AHRD V3.3 *** Q0WRV2_ARATH)
Solyc03g124050.3.1 ,Pollen receptor-like kinase.1
Solyc03g124060.3.1 ,Polyketide cyclase/dehydrase and lipid transport superfamily protein (AHRD V3.3 *** Q93YV2_ARATH)
Solyc03g124061.1.1 ,Unknown protein
Solyc03g124064.1.1 ,Unknown protein
Solyc03g124068.2.1 ,Ent-kaurene synthase (AHRD V3.11 *** tr|G5CV50|G5CV50_SOLLC)
Solyc04g004000.1.1 ,Unknown protein
Solyc04g004005.1.1 ,Unknown protein
Solyc04g005000.1.1 ,Unknown protein
Solyc04g005010.4.1 ,Ribonuclease H domain (AHRD V3.3 *** A0A200QLE9_9MAGN)
Solyc04g160280.1.1 ,Zinc finger protein (AHRD V3.11 *** tr|A0A200QV58|A0A200QV58_9MAGN)
Solyc04g005020.3.1 ,Transducin/WD40 repeat-like superfamily protein (AHRD V3.3 *** A0A2U1QGB4_ARTAN)
Solyc04g005030.4.1 ,Phosphoglucosamine mutase family protein (AHRD V3.3 *** A0A2U1MUU8_ARTAN)
Solyc04g005040.1.1 ,Metalloendoproteinase.1
Solyc04g005050.1.1 ,Metalloendoproteinase.1
Solyc04g005060.3.1 ,TPX2 domain-containing protein (AHRD V3.3 *** A0A1Q3CMC0_CEPFO)
Solyc04g005070.3.1 ,Major facilitator superfamily protein (AHRD V3.3 *** A0A2U1N7S7_ARTAN)
Solyc04g005080.3.1 ,Pyruvate dehydrogenase .1
Solyc04g005090.4.1 ,Cofactor assembly of complex C (AHRD V3.3 *** A0A1P8ASR1_ARATH)
Solyc04g005100.3.1 ,transcription factor MYB1R1-like (AHRD V3.3 *** A0A2I4GKI8_9ROSI)
Solyc04g005110.1.1 ,"(E,E)-germacrene B synthase (AHRD V3.3 *-* A0A2G2ZZ49_CAPAN)"
Solyc04g005120.3.1 ,short hypocotyl in white ligh.1
Solyc04g005130.3.1 ,bHLH transcription factor 027
Solyc04g005150.5.1 ,Uridine kinase (AHRD V3.11 *** tr|A0A200QPY2|A0A200QPY2_9MAGN)
Solyc04g005140.2.1 ,Uridine kinase (AHRD V3.3 *** A0A200QPY2_9MAGN)
Solyc04g005160.3.1 ,"6-phosphogluconate dehydrogenase, decarboxylating (AHRD V3.3 *** A0A1U8F1N4_CAPAN)"
Solyc04g005170.1.1 ,Basic leucine zipper 43 (AHRD V3.3 *** A0A1U8H2I2_CAPAN)
Solyc04g005180.5.1 ,"Protein PHYLLO, chloroplastic (AHRD V3.11 *-* tr|A0A2G2WS56|A0A2G2WS56_CAPBA)"
Solyc04g005190.2.1 ,2-succinyl-5-enolpyruvyl-6-hydroxy-3-cyclohexene-1-carboxylate synthase (AHRD V3.3 *-* I0F813_9BACI)
Solyc04g005200.4.1 ,"2-succinyl-6-hydroxy-2,4-cyclohexadiene-1-carboxylate synthase (AHRD V3.3 *** A0A1V0LBF9_9ENTR)"
Solyc04g150100.1.1 ,Unknown protein
Solyc04g005220.3.1 ,Transcription factor bHLH62 (AHRD V3.3 *** A0A2G2WBN0_CAPBA)
Solyc04g005230.3.1 ,Alpha/beta-Hydrolases superfamily protein (AHRD V3.3 *** A0A2U1KK17_ARTAN)
Solyc04g005240.2.1 ,root meristem growth factor 2-like (AHRD V3.3 --* XP_015954578.1)
Solyc04g005250.4.1 ,cytosine-5 DNA methyltransferase1
Solyc04g005260.3.1 ,DNA-3-methyladenine glycosylase I (AHRD V3.3 *-* B6U9I4_MAIZE)
Solyc04g005270.1.1 ,Phosphatidylinositol 4-kinase gamma 7 (AHRD V3.3 *** A0A1U8GNT8_CAPAN)
Solyc04g005280.4.1 ,bHLH transcription factor 028
Solyc04g005290.3.1 ,18S pre-ribosomal assembly protein gar2-like protein (AHRD V3.3 *-* AT2G03810.7)
Solyc04g005300.4.1 ,D-aminoacyl-tRNA deacylase (AHRD V3.3 *-* A0A1U8F9A2_CAPAN)
Solyc04g005310.3.1 ,translin-associated factor X
Solyc04g005320.3.1 ,MADS box transcription factor (AHRD V3.3 *** Q8L5F3_DAUCA)
Solyc04g005330.3.1 ,Transducin/WD40 repeat-like superfamily protein (AHRD V3.3 *** A0A2U1N878_ARTAN)
Solyc04g005340.2.1 ,"Alpha-1,4-glucan-protein synthase [udp-forming].1"
Solyc04g005350.3.1 ,"Glycine-rich RNA-binding protein 3, mitochondrial (AHRD V3.3 *** A0A2I0XDS6_9ASPA)"
Solyc04g005360.1.1 ,Cytochrome P450 (AHRD V3.3 *** W0FG45_POPTR)
Solyc04g005370.2.1 ,Cytochrome P450 (AHRD V3.3 *** W0FG45_POPTR)
Solyc04g005380.3.1 ,Ninja-family protein AFP3 (AHRD V3.3 *** A0A2G3CFM6_CAPCH)
Solyc04g005390.3.1 ,LRR receptor-like kinase family protein (AHRD V3.3 *** A0A072U6P6_MEDTR)
Solyc04g005400.1.1 ,Unknown protein
Solyc04g005410.3.1 ,Ureide permease (AHRD V3.3 *** A0A2R6PBP7_ACTCH)
Solyc04g005420.4.1 ,Carbohydrate-binding X8 domain superfamily protein (AHRD V3.3 *-* A0A1P8AZV6_ARATH)
Solyc04g005430.4.1 ,S-adenosyl-L-methionine-dependent methyltransferases superfamily protein (AHRD V3.3 *** A0A2U1PA46_ARTAN)
Solyc04g005440.1.1 ,C2H2-like zinc finger protein (AHRD V3.3 *** A0A2U1QL40_ARTAN)
Solyc04g005450.3.1 ,Purple acid phosphatase (AHRD V3.3 *** A0A2G3CFK1_CAPCH)
Solyc04g005460.1.1 ,Pentatricopeptide repeat (AHRD V3.3 *** A0A200QNY2_9MAGN)
Solyc04g005470.3.1 ,Remorin (AHRD V3.3 *** A0A200PRB9_9MAGN)
Solyc04g005480.1.1 ,nodulin-related protein 1-like (AHRD V3.3 *** A0A2I4FXG1_9ROSI)
Solyc04g005490.3.1 ,Appr-1-p processing enzyme family protein (AHRD V3.3 *** A0A2U1M8F6_ARTAN)
Solyc04g005500.3.1 ,T-box transcription factor%2C putative (DUF863) (AHRD V3.3 *** AT1G69360.1)
Solyc04g005510.3.1 ,Eukaryotic translation initiation factor 5A (AHRD V3.3 *** A0A1U8HES8_CAPAN)
Solyc04g005520.3.1 ,Amino acid kinase family protein (AHRD V3.3 *** A0A2U1KEH8_ARTAN)
Solyc04g005540.3.1 ,Pvr4 (AHRD V3.3 *** A0A1D5AHY8_CAPAN)
Solyc04g005550.2.1 ,Tsw (AHRD V3.3 *** A0A1C9TCM9_CAPCH)
Solyc04g005555.1.1 ,CASP-like protein 4.1
Solyc04g005560.3.1 ,ARF guanine-nucleotide exchange factor GNOM (AHRD V3.3 *** A0A1U8HBB7_CAPAN)
Solyc04g005570.5.1 ,Transmembrane emp24 domain-containing protein p24delta9 (AHRD V3.11 *** tr|A0A2G2YDC2|A0A2G2YDC2_CAPAN)
Solyc04g005590.4.1 ,GCK domain protein (AHRD V3.11 *-* tr|A0A2K3PGF3|A0A2K3PGF3_TRIPR)
Solyc04g005580.1.1 ,GCK domain protein (AHRD V3.3 *-* A0A2K3PGF3_TRIPR)
Solyc04g005600.3.1 ,Transcription factor (AHRD V3.3 *** A0A2G2Z3S3_CAPAN)
Solyc04g005610.3.1 ,NAC domain-containing protein 2 (AHRD V3.3 *** NAP2_SOLLC)
Solyc04g005620.3.1 ,Casparian strip membrane protein.1
Solyc04g005630.3.1 ,"Transcription termination factor 3, mitochondrial (AHRD V3.3 *** A0A1J3JQF8_NOCCA)"
Solyc04g005640.3.1 ,Ribonuclease (AHRD V3.3 *** Q4ADQ2_9CARY)
Solyc04g005653.2.1 ,Peroxisomal nicotinamide adenine dinucleotide carrier (AHRD V3.11 *** tr|A0A2G2ZHF7|A0A2G2ZHF7_CAPAN)
Solyc04g005650.3.1 ,Peroxisomal nicotinamide adenine dinucleotide carrier (AHRD V3.3 *** A0A2G2ZHF7_CAPAN)
Solyc04g005657.1.1 ,Unknown protein
Solyc04g005660.4.1 ,transcription factor PRE6-like (AHRD V3.3 *** A0A2I4HLH0_9ROSI)
Solyc04g005670.3.1 ,F-box/kelch-repeat protein (AHRD V3.3 *** A0A2G3CYH7_CAPCH)
Solyc04g005680.5.1 ,40S ribosomal protein S9 (AHRD V3.11 *-* tr|A0A2G3CFV4|A0A2G3CFV4_CAPCH)
Solyc04g005690.4.1 ,SWAP (Suppressor-of-White-APricot)/surp domain-containing protein (AHRD V3.3 *** F4HW92_ARATH)
Solyc04g005710.3.1 ,R2R3MYB transcription factor 88
Solyc04g005720.3.1 ,Caleosin (AHRD V3.3 *** A0A200QL80_9MAGN)
Solyc04g161910.1.1 ,RING/U-box superfamily protein (AHRD V3.11 *-* tr|A0A1I9LQQ9|A0A1I9LQQ9_ARATH)
Solyc04g005740.1.1 ,RING/U-box superfamily protein (AHRD V3.3 *-* A0A1I9LQQ9_ARATH)
Solyc04g005750.1.1 ,DUF1336 domain-containing protein (AHRD V3.3 *-* A0A1Q3D2H4_CEPFO)
Solyc04g005760.1.1 ,RING/U-box superfamily protein (AHRD V3.3 *-* A0A1I9LQQ9_ARATH)
Solyc04g160220.1.1 ,E3 ubiquitin-protein ligase SDIR1-like (AHRD V3.11 *** XP_025883731.1)
Solyc04g005770.3.1 ,Pentatricopeptide repeat-containing protein (AHRD V3.3 *** A0A2G2ZHE2_CAPAN)
Solyc04g005780.1.1 ,Glyoxal oxidase (AHRD V3.3 *** A0A200PQ20_9MAGN)
Solyc04g005790.3.1 ,Protein NRT1/ PTR FAMILY 4.6 (AHRD V3.3 *** A0A2G2YDU5_CAPAN)
Solyc04g005800.3.1 ,Homeobox-leucine zipper protein HOX16 (AHRD V3.3 *** A0A1U8EXU3_CAPAN)
Solyc04g005810.3.1 ,Thioredoxin (AHRD V3.3 *** A0A2G2YE12_CAPAN)
Solyc04g005820.4.1 ,DnaJ-like protein (AHRD V3.3 *** Q9SP09_TOBAC)
Solyc04g005830.3.1 ,P-loop containing nucleoside triphosphate hydrolases superfamily protein (AHRD V3.3 *** A0A2U1KZ59_ARTAN)
Solyc04g005840.1.1 ,Glycerol-3-phosphate acyltransferase (AHRD V3.3 *** A0A0M4FCN7_9SOLA)
Solyc04g005850.1.1 ,Exocyst complex component EXO84A (AHRD V3.3 *** A0A2G2YKH9_CAPAN)
Solyc04g005860.3.1 ,Protein ENHANCED DISEASE RESISTANCE 2 (AHRD V3.3 *** A0A1J3E5Z2_NOCCA)
Solyc04g005870.1.1 ,F-box/kelch-repeat protein (AHRD V3.3 *-* A0A2G2YDG5_CAPAN)
Solyc04g005880.1.1 ,F-box family protein (AHRD V3.3 *-* S8CP16_9LAMI)
Solyc04g005890.3.1 ,F-box/FBD/LRR-repeat protein (AHRD V3.3 *** A0A2K3NAP3_TRIPR)
Solyc04g005900.3.1 ,F-box/FBD/LRR-repeat protein (AHRD V3.3 *** A0A2G3CFK0_CAPCH)
Solyc04g005910.3.1 ,Protein nsp-interacting kinase 2 (AHRD V3.3 *** A0A314KJ76_NICAT)
Solyc04g005920.1.1 ,micronuclear linker histone polyprotein-like protein (AHRD V3.3 *** AT3G25590.1)
Solyc04g160400.1.1 ,RING-H2 finger protein ATL30-like (AHRD V3.11 *-* tr|A0A2I4G186|A0A2I4G186_9ROSI)
Solyc04g162410.1.1 ,Ring finger protein (AHRD V3.11 *-* tr|A0A1J9QTD5|A0A1J9QTD5_9PEZI)
Solyc04g006930.3.1 ,Protein kinase family protein (AHRD V3.3 *-* E5GBJ3_CUCME)
Solyc04g006940.5.1 ,Phospholipid-transporting ATPase (AHRD V3.11 *** tr|A0A2G2ZHI8|A0A2G2ZHI8_CAPAN)
Solyc04g006960.3.1 ,ABC transporter-like (AHRD V3.3 *** A0A200QID3_9MAGN)
Solyc04g006970.4.1 ,Phosphoenolpyruvate carboxylase (AHRD V3.3 *** A6YM33_RICCO)
Solyc04g160410.1.1 ,BnaA06g03360D protein (AHRD V3.11 *** tr|A0A078JAL9|A0A078JAL9_BRANA)
Solyc04g006980.1.1 ,TCP transcription factor 22
Solyc04g006983.1.1 ,Unknown protein
Solyc04g006987.1.1 ,Unknown protein
Solyc04g007000.3.1 ,AP2/B3 transcription factor family protein (AHRD V3.11 *** tr|A0A2U1MEM3|A0A2U1MEM3_ARTAN)
Solyc04g160090.1.1 ,Agamous-like mads-box protein agl61-like (AHRD V3.11 *-* tr|A0A2K3L584|A0A2K3L584_TRIPR)
Solyc04g007010.3.1 ,Sn-2 protein (AHRD V3.3 *** Q39467_CAPAN)
Solyc04g007030.4.1 ,Disease resistance protein (AHRD V3.3 *** A0A2U1N8H9_ARTAN)
Solyc04g007050.4.1 ,Disease resistance protein (AHRD V3.3 *** A0A2U1N8H9_ARTAN)
Solyc04g007070.3.1 ,Disease resistance protein (AHRD V3.3 *** A0A2U1N8H9_ARTAN)
Solyc04g007075.2.1 ,Disease resistance protein (AHRD V3.11 *** tr|A0A2U1M2V8|A0A2U1M2V8_ARTAN)
Solyc04g007090.1.1 ,Disease resistance protein (AHRD V3.3 *-* A0A2U1Q881_ARTAN)
Solyc04g007100.5.1 ,Phosphatase 2A regulatory A subunit (AHRD V3.11 *** tr|Q9S7C5|Q9S7C5_ORYSA)
Solyc04g007110.4.1 ,transmembrane protein (AHRD V3.3 *** AT3G25805.1)
Solyc04g150101.1.1 ,Sn-2 protein (AHRD V3.3 *** Q39467_CAPAN)
Solyc04g007120.4.1 ,Ubiquitin receptor RAD23c (AHRD V3.3 *** A0A2G2WS01_CAPBA)
Solyc04g007130.1.1 ,hypothetical protein (AHRD V3.3 *** AT1G13360.1)
Solyc04g007140.1.1 ,protein NIM1-INTERACTING 2-like (AHRD V3.3 *** XP_011071259.1)
Solyc04g007150.3.1 ,Glycoside hydrolase family .1
Solyc04g007160.1.1 ,alpha-xylosidase 1-like (AHRD V3.3 *-* A0A2I4HUF9_9ROSI)
Solyc04g007170.3.1 ,Ethylene-responsive transcription factor (AHRD V3.3 *** A0A2G2V7U7_CAPBA)
Solyc04g007190.4.1 ,Thioesterase-like protein (AHRD V3.3 *** B5B0E4_SOLHA)
Solyc04g007200.4.1 ,Methylketone synthase IIb (AHRD V3.3 *** E0YCS9_SOLLC)
Solyc04g007210.3.1 ,Zinc finger protein CONSTANS-LIKE 7 (AHRD V3.3 *** A0A2G2VK65_CAPBA)
Solyc04g007220.4.1 ,translocase subunit seca (AHRD V3.3 *** AT1G13390.2)
Solyc04g007230.3.1 ,Regulator of Vps4 activity in the MVB pathway protein (AHRD V3.3 *** A0A2U1Q5E5_ARTAN)
Solyc04g007240.1.1 ,Adenylate isopentenyltransferase (AHRD V3.3 *** A0A2G3B611_CAPCH)
Solyc04g007243.1.1 ,Unknown protein
Solyc04g160430.1.1 ,HMG-Y-related protein A-like (AHRD V3.11 *-* XP_010312916.1)
Solyc04g007250.1.1 ,transmembrane protein (AHRD V3.3 *** AT1G25400.2)
Solyc04g007260.5.1 ,Thioesterase-like protein (AHRD V3.11 *** tr|B5B3P5|B5B3P5_SOLLC)
Solyc04g007270.3.1 ,PHD finger protein (AHRD V3.3 *** A0A2G2WSU8_CAPBA)
Solyc04g007280.3.1 ,Nuclear pore complex protein NUP98A (AHRD V3.3 *** A0A2G3DE78_CAPCH)
Solyc04g007290.4.1 ,DUF639 domain-containing protein (AHRD V3.3 *** A0A1Q3DGQ0_CEPFO)
Solyc04g007300.4.1 ,bHLH transcription factor 030
Solyc04g007310.2.1 ,Thaumatin (AHRD V3.3 *** A0A2U1PDY4_ARTAN)
Solyc04g007320.3.1 ,Disease resistance protein (TIR-NBS-LRR class) (AHRD V3.3 *** A0A2U1PW75_ARTAN)
Solyc04g007330.4.1 ,DNA-binding HORMA (AHRD V3.11 *** tr|A0A200QG98|A0A200QG98_9MAGN)
Solyc04g007340.4.1 ,hypothetical protein (DUF1639) (AHRD V3.3 *** AT1G25370.2)
Solyc04g007350.3.1 ,DUF1639 domain-containing protein (AHRD V3.3 *** A0A1Q3C214_CEPFO)
