"genes","log2FoldChange","padj","tair_symbol","description","external_gene_name","batchcorr","refgroup","logFC_scheible2004","Padj_scheible2004","logFC_nguyen2017","Padj_nguyen2017","lfcliu2020","qvalliu2020"
"AT5G60680",0.720655823404731,0.0010125942951746,"","Emb [Source:UniProtKB/TrEMBL;Acc:Q9FF51]","","p","en2",-1.23504695620116,1.44704244776757e-06,NA,NA,-0.452706796,0.00272024
"AT5G60680",0.597456097394475,0.00414088500613372,"","Emb [Source:UniProtKB/TrEMBL;Acc:Q9FF51]","","r","em2",-1.23504695620116,1.44704244776757e-06,NA,NA,-0.452706796,0.00272024
"AT5G61190",-0.500996533723631,0.0460292570243174,"","putative endonuclease or glycosyl hydrolase with C2H2-type zinc finger domain [Source:TAIR;Acc:AT5G61190]","","p","em24",NA,NA,NA,NA,0.326863065,0.04073492
"AT5G61600",1.26976852794401,0.00275342662220191,"ERF104","Ethylene-responsive transcription factor ERF104 [Source:UniProtKB/Swiss-Prot;Acc:Q9FKG1]","ERF104","p","em24",0.732548717571763,0.000149900020417995,0.701,0.0072,-0.501295486,0.000762655
"AT5G62020",0.759957539916708,0.0369721734204213,"AT-HSFB2A","HSFB2A [Source:UniProtKB/TrEMBL;Acc:A0A384KDZ5]","HSFB2A","p","em24",0.563233906203194,0.000746969599297044,NA,NA,-0.994685074,0.000110871
"AT5G62020",0.776049126941245,0.0356446614642433,"AT-HSFB2A","HSFB2A [Source:UniProtKB/TrEMBL;Acc:A0A384KDZ5]","HSFB2A","p","en2",0.563233906203194,0.000746969599297044,NA,NA,-0.994685074,0.000110871
"AT5G62280",0.605179384075284,0.0409772991079861,"","At5g62280 [Source:UniProtKB/TrEMBL;Acc:Q9LVA8]","","r","em2",-0.417506375520359,0.0100046812043858,NA,NA,0.880708136,3.54e-06
"AT5G62470",0.56483354730969,0.023601008328816,"MYB96","Transcription factor MYB96 [Source:UniProtKB/Swiss-Prot;Acc:Q24JK1]","MYB96","p","em24",NA,NA,NA,NA,0.384560274,0.017457719
"AT5G63130",-0.915188987305507,0.0235449483891805,"","At5g63130 [Source:UniProtKB/TrEMBL;Acc:Q9FML0]","","p","nm2",1.14299518174271,1.25205766693223e-06,NA,NA,-1.345200554,0.001165929
"AT5G64120",-0.82606305544402,0.0332837945165757,"","Peroxidase [Source:UniProtKB/TrEMBL;Acc:A0A178UAR8]","PER71","p","en2",NA,NA,NA,NA,-1.164374707,6.51e-34
"AT5G64260",0.696602162416059,0.002252285258581,"EXL2","Protein EXORDIUM-like 2 [Source:UniProtKB/Swiss-Prot;Acc:Q9FE06]","EXL2","p","em24",0.674980594775092,1.55501724495492e-05,0.83,0.0029,-1.749376921,2.17e-85
"AT5G64310",0.514592306435487,0.0382774918541577,"AGP1","Classical arabinogalactan protein 1 [Source:UniProtKB/Swiss-Prot;Acc:Q8LCN5]","AGP1","p","em24",-0.398496198759975,0.00302994274224621,NA,NA,-0.969130732,0.000786666
"AT5G64660",1.33310825035789,0.0325480527358557,"ATCMPG2","U-box domain-containing protein 27 [Source:UniProtKB/Swiss-Prot;Acc:Q9FLF4]","PUB27","p","en24",0.910184886119851,2.70669300223219e-05,NA,NA,-1.415799576,8.12e-12
"AT5G64660",0.831363273141781,0.0264162178843088,"ATCMPG2","U-box domain-containing protein 27 [Source:UniProtKB/Swiss-Prot;Acc:Q9FLF4]","PUB27","p","em24",0.910184886119851,2.70669300223219e-05,NA,NA,-1.415799576,8.12e-12
"AT5G65210",0.566897203488146,0.00820101529926461,"TGA1","Transcription factor TGA1 [Source:UniProtKB/Swiss-Prot;Acc:Q39237]","TGA1","p","nm2",0.256682526886961,0.0386650922944164,NA,NA,-0.784011452,6.43e-11
"AT5G65280",-0.79477519766507,0.0248758983498964,"GCL1","LanC-like protein GCL1 [Source:UniProtKB/Swiss-Prot;Acc:Q9FJN7]","GCL1","p","nm2",NA,NA,NA,NA,-1.610273545,1.31e-12
"AT5G65685",-0.506927505511669,0.00430793302180479,"","UDP-Glycosyltransferase superfamily protein [Source:TAIR;Acc:AT5G65685]","","p","em24",-0.529419653689436,0.000548690087146133,NA,NA,-0.316698205,0.030369501
"AT5G65920",0.602063176404585,0.049263257332082,"","U-box domain-containing protein 31 [Source:UniProtKB/Swiss-Prot;Acc:Q9FHN9]","PUB31","p","em24",NA,NA,NA,NA,-1.088769694,1.84e-16
"AT5G66040",-0.347516199350994,0.0117760982491396,"STR16","Thiosulfate sulfurtransferase 16, chloroplastic [Source:UniProtKB/Swiss-Prot;Acc:Q39129]","STR16","p","nm2",-0.22179406973314,0.0374493966506729,NA,NA,-0.382222101,0.014878835
"AT5G66580",0.882820104217557,0.049263257332082,"","Uncharacterized protein At5g66580 [Source:UniProtKB/TrEMBL;Acc:Q9FJY2]","","p","em24",NA,NA,NA,NA,0.499883371,0.040079769
"AT5G66590",-0.506678822333503,0.0391498300261341,"","CAP (Cysteine-rich secretory proteins, Antigen 5, and Pathogenesis-related 1 protein) superfamily protein [Source:UniProtKB/TrEMBL;Acc:Q9FJY1]","","p","nm2",NA,NA,NA,NA,-0.785333039,0.010498041
"AT5G66610",-0.811135351939971,0.0415977551767997,"DAR7","DA1-related protein 7 [Source:UniProtKB/TrEMBL;Acc:F4K0N7]","DAR7","p","em24",NA,NA,NA,NA,0.940203891,1.94e-08
"AT5G67070",-0.407801873657951,0.0255614773860683,"RALFL34","Protein RALF-like 34 [Source:UniProtKB/Swiss-Prot;Acc:Q9FHA6]","RALFL34","p","nm2",-0.837753358897284,7.54103359345354e-06,NA,NA,0.476092831,0.029537941
"AT5G67300",0.645130649088937,0.0121917981412488,"ATMYBR1","MYBR1 [Source:UniProtKB/TrEMBL;Acc:A0A178UQ74]","MYB44","p","em24",0.388874498164965,0.000834943188254692,NA,NA,-0.912772888,7.8e-13
"AT5G67450",1.07442093871766,0.042514361950959,"AZF1","ZF1 [Source:UniProtKB/TrEMBL;Acc:A0A178UTI6]","AZF1","p","em24",1.71141242145201,1.8652423705373e-07,NA,NA,1.442524588,2.54e-05
